Door Number,Item1,Item2,Item3,Refrigerated,Special Day
1,Pingui,Choco Fresh,Maxi King,True,first advent 
2,Duplo,Cards,Hazelnut Kugel,False
3,Bueno,Happy Hippo,Crispy Bits Kugel,False,
4,Duplo,Hazelnut Kugel,Crispy Bits Kugel,False,
5,Cards,Bueno,Crispy Bits Kugel,False,
6,None,None,None,False,Nikolaus
7,Choco Fresh,Pingui,Maxi King,True,second advent
8,Duplo,Hazelnut Kugel,Crispy Bits Kugel,False,
9,Happy Hippo,Bueno,Hazelnut Kugel,False,
10,Cards,Duplo,Crispy Bits Kugel,False,
11,Bueno,Hazelnut Kugel,Crispy Bits Kugel,False,
12,Choco Fresh,Pingui,,True,halftime
13,Hazelnut Kugel,Duplo,Happy Hippo,False,
14,Choco Fresh,Maxi King,,True,third advent
15,Cards,Bueno,Hazelnut Kugel,False,
16,Duplo,Crispy Bits Kugel,None,False,
17,Bueno,Hazelnut Kugel,None,False,
18,Duplo,Happy Hippo,Crispy Bits Kugel,False,
19,Duplo,Crispy Bits Kugel,Hazelnut Kugel,False,
20,Crispy Bits Kugel,Happy Hippo,None,False,
21,Choco Fresh,Pingui,None,True,fourth advent
22,Duplo,Cards,Hazelnut Kugel,False,
23,Duplo,Crispy Bits Kugel,None,False,
24,Hazelnut Kugel,None,None,False,christmas
